#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" name="distribution" x="@birthRate.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" id="treeLikelihood.Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout">
#            <siteModel id="SiteModel.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.01773</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
20000	-1595.3879856577432	-1599.1542337863616	3.766248128618365	-1599.1542337863616	3.3101289419398023	17.92750667680729	3.766248128618365	2.506659676688373
21000	-1589.4326496319588	-1595.4656814999832	6.033031868024505	-1595.4656814999832	3.1617726324168323	17.399681712863323	6.033031868024505	3.0329783731294757
22000	-1597.1782490214225	-1610.0788478495206	12.90059882809803	-1610.0788478495206	2.366559928326253	15.199343795122745	12.90059882809803	3.1298821520796247
23000	-1596.6397062138396	-1607.0885071972484	10.448800983408741	-1607.0885071972484	2.567234863067548	15.954220989394102	10.448800983408741	3.604429531664901
24000	-1608.3932978399496	-1605.6782901786823	-2.7150076612672738	-1605.6782901786823	3.2498609317748333	20.039181770251876	-2.7150076612672738	2.108664241937675
25000	-1592.2008404778906	-1600.269401008411	8.068560530520472	-1600.269401008411	2.738805701813458	16.09251699322919	8.068560530520472	4.310632210684236
26000	-1598.3820545745293	-1608.5115116263657	10.129457051836319	-1608.5115116263657	2.5690465810256033	16.105249118589253	10.129457051836319	3.2677157812240916
27000	-1599.8760762371162	-1608.0001743558676	8.12409811875133	-1608.0001743558676	2.683285370863541	16.714895368663985	8.12409811875133	3.291538073221369
28000	-1599.7480359951626	-1601.9435958840415	2.1955598888789574	-1601.9435958840415	3.2085363113444503	18.682414852004392	2.1955598888789574	2.9830659928516567
29000	-1597.0731036621478	-1603.0826979628541	6.009594300706421	-1603.0826979628541	2.868127896515469	16.87617467126108	6.009594300706421	3.9887200747531355
30000	-1594.8577900352166	-1599.9279269750443	5.070136939827785	-1599.9279269750443	2.965586179859689	17.11472728005043	5.070136939827785	2.3510552607137587
31000	-1595.8795846813553	-1601.5550883490162	5.675503667660859	-1601.5550883490162	2.7509829671934973	17.50556500705553	5.675503667660859	3.14131815854569
32000	-1594.67222206169	-1602.2911969210427	7.6189748593525515	-1602.2911969210427	2.4637852972464938	16.747056662618583	7.6189748593525515	2.773967351610679
33000	-1604.9341040353243	-1605.5617449773838	0.6276409420595392	-1605.5617449773838	3.304782801108026	19.23664650063901	0.6276409420595392	2.600711904007458
34000	-1605.4465443345277	-1604.7440036187725	-0.7025407157552763	-1604.7440036187725	3.103933643871102	19.678220469816402	-0.7025407157552763	2.9425802074245393
35000	-1591.6275054591408	-1601.3989543242412	9.77144886510051	-1601.3989543242412	2.617035975236052	15.951962398620461	9.77144886510051	3.9598883832826375
36000	-1592.8468758299023	-1597.3872917577742	4.540415927871987	-1597.3872917577742	3.2005148212723933	17.782556423602607	4.540415927871987	2.655705762431155
37000	-1586.1199595307392	-1597.9356728143077	11.815713283568545	-1597.9356728143077	2.576563619989643	15.500759496222674	11.815713283568545	3.8228547756689553
38000	-1581.2388864285535	-1595.0153444867162	13.776458058162584	-1595.0153444867162	2.4432983869646074	14.952136313626143	13.776458058162584	3.1856171016473254
39000	-1580.223954690685	-1590.451630862832	10.22767617214678	-1590.451630862832	2.878354474618259	15.87423282438004	10.22767617214678	3.8976201495383713
40000	-1588.3222648167105	-1597.4199662939075	9.097701477196894	-1597.4199662939075	2.669463778557162	16.35538293987669	9.097701477196894	2.9565419556318737
41000	-1591.1008417143457	-1603.4236834641138	12.32284174976802	-1603.4236834641138	2.8736328703727207	15.395811977649274	12.32284174976802	3.7467547933265064
42000	-1593.1180941026664	-1600.8520381759483	7.733944073281965	-1600.8520381759483	2.9170729209345168	16.844467362739113	7.733944073281965	3.064366523945713
43000	-1588.3893517684464	-1600.0831750620894	11.693823293642854	-1600.0831750620894	2.5595853494729264	15.61685500595086	11.693823293642854	3.2234587149653455
